Arizona Zervas,32102084
Billie Eilish,21786149
BTS,18424710
Dua Lipa,28228768
Eminem,40637125
Future,34200687
Halsey,19736651
Justin Bieber,34586419
KAROL G,41434019
Lewis Capaldi,19523711
Mac Miller,21727425
Maroon 5,24516744
Post Malone,23997809
Roddy Ricch,48937592
Selena Gomez,17714002
Shawn Mendes,19265338
The Black Eyed Peas,21103190
The Weeknd,33551309
Tones and I,50409214
Trevor Daniel,28606316
